,Femmes,Hommes,Non-binaires
Booker Prize,40.1% (63),59.9% (94),0.0% (0)
Women's Prize for Fiction,100.0% (135),0.0% (0),0.0% (0)
Baillie Gifford Prize for Non-Fiction,31.6% (37),67.5% (79),0.0% (0)
Gold Dagger,40.0% (30),60.0% (45),0.0% (0)
Ted Hughes Award for New Work in Poetry,48.0% (24),50.0% (25),2.0% (1)
