prize_alias,woman,man,non-binary
Women's Prize for Fiction,135,0,0
Ted Hughes Award for New Work in Poetry,24,25,1
Booker Prize,63,94,0
Gold Dagger,30,45,0
Baillie Gifford Prize for Non-Fiction,37,79,0
