prize_alias,woman,man,non-binary
Women's Prize for Fiction,100.0,0.0,0.0
Ted Hughes Award for New Work in Poetry,48.0,50.0,2.0
Booker Prize,40.12738853503185,59.87261146496815,0.0
Gold Dagger,40.0,60.0,0.0
Baillie Gifford Prize for Non-Fiction,31.896551724137932,68.10344827586206,0.0
